storename,address,위도,경도
충북진천점,충북 진천군 진천읍 중앙동로 85-1 ,36.8574749,127.4446610
충주연수점,충북 충주시 번영대로 138 (연수동) ,36.9868891,127.9327938
충주용산점,충북 충주시 형설로 75-1 (용산동) ,36.9606688,127.9397554
충주호암점,충북 충주시 호암수청1로 51 (호암동) ,36.9572317,127.9253870
제천청전사거리점,충북 제천시 청전대로 177 (청전동) ,37.1520593,128.2169913
제천신백점,충북 제천시 관전로 43 (신백동) ,37.1292383,128.2281618
경남거창점,경남 거창군 거창읍 중앙로 154 ,35.6874704,127.9151142
경남산청점,경남 산청군 산청읍 웅석봉로154번길 31 ,35.4046843,127.8751884
통영봉평점,경남 통영시 도남로 88-1 (봉평동) ,34.8311848,128.4140388
양산평산점,경남 양산시 평산로 30 (평산동) ,35.3818265,129.1517352
양산웅상점,경남 양산시 삼호로 81 (삼호동) ,35.4076006,129.1729199
양산남부점,경남 양산시 양주로 38 (남부동) ,35.3314453,129.0274715
양산북정점,경남 양산시 북정로 63 (북정동) ,35.3591088,129.0472346
진주호탄점,경남 진주시 가호로 33 (호탄동) ,35.1637099,128.1099131
진주초전점,경남 진주시 초장로14번길 4-18 (초전동) ,35.2036038,128.1155365
진주퀸즈웰가점,"경남 진주시 새평거로 25 (평거동, 더 퀸즈웰가) ",35.1666876,128.0519226
진주금산점,경남 진주시 금산면 중천로 79 ,35.2179297,128.1460828
진주혁신점,경남 진주시 사들로 79 (충무공동) ,35.1749401,128.1489290
경남하동점,경남 하동군 하동읍 중앙로 53 ,35.0708406,127.7467654
경남함양점,경남 함양군 함양읍 함양로 1134 ,35.5198517,127.7276616
경남사천읍점,경남 사천시 사천읍 읍내1길 68 ,35.0829394,128.0869899
진해석동점,경남 창원시 진해구 석동로 71 (석동) ,35.1564013,128.7060204
김해구산점,경남 김해시 가락로 291 (구산동) ,35.2509019,128.8721956
경남합천읍점,경남 합천군 합천읍 동서로 76 ,35.5670859,128.1606474
김해내외점,경남 김해시 함박로101번길 6 (외동) ,35.2326291,128.8655242
김해부원점,경남 김해시 김해대로2355번길 29 (부원동) ,35.2290748,128.8833152
김해삼계점,경남 김해시 해반천로168번길 19 (삼계동) ,35.2633863,128.8694016
김해삼방점,경남 김해시 삼안로 255 (삼방동) ,35.2507842,128.9096897
김해진영읍점,경남 김해시 진영읍 진영로 205 ,35.3028439,128.7353650
김해율하점,경남 김해시 율하2로97번길 18 (율하동) ,35.1718898,128.8134667
마산서중점,경남 창원시 마산합포구 월영남로 2-1 (해운동) ,35.1783932,128.5581647
김해장유삼문점,경남 김해시 능동로167번길 1 (부곡동) ,35.2031928,128.8089716
경남창년읍점,경남 창녕군 창녕읍 종로 34-1 ,35.5404541,128.4998943
경남고성읍점,경남 고성군 고성읍 중앙로43번길 79 ,34.9774567,128.3257871
