가맹점명,주소,위도,경도
면목2호,서울 중랑구 면목2동 191-126,37.5897150,127.0736576
명곡,대구 달성군 화원읍 명곡리 320-1,35.7987913,128.4925878
명륜(원주),강원 원주시 명륜동 539,37.3316505,127.9465367
명일1호,서울 강동구 명일동 328-2,37.5496678,127.1469530
명장1호,부산 동래구 명장동 26-24번지 국제아파트 상가 106호,35.2055856,129.0997535
명지대,서울 서대문구 남가좌동 344-7,37.5780370,126.9219940
명지법원네오,부산 강서구 명지동 3432-1 2동 102호,35.0935624,128.9102604
명지신도시,부산 강서구 명지동 3256-5,35.0858853,128.9097638
모라,부산 사상구 모라동 1349-4,35.1899613,128.9913342
모란역,경기 성남시 중원구 성남동 3249,37.4330963,127.1315811
모현,전북 익산시 모현동1가 857,35.9523188,126.9410589
목3동,서울 양천구 목동 722-8 호성빌딩,37.5390323,126.8639954
목감신도시2호,경기 시흥시 조남동 657-2,37.3777294,126.8524099
목감역,경기 시흥시 목감동 410-2,37.3830250,126.8625859
목동1호,서울 양천구 목동 797-3,37.5325840,126.8665499
목동2호,서울 양천구 목동 909-8 이화프라자 1층 101호,37.5368967,126.8836175
목동오거리,서울 양천구 목동 940 현대아이파크상가 102,37.5289975,126.8650303
목동파크자이,서울 양천구 신정동 171-68,37.5084840,126.8688724
목천,충남 천안시 동남구 목천읍 신계리 134-18,36.7729097,127.2095066
못골,부산 남구 대연동 1543-33,35.1382105,129.0868243
무거1호,울산 남구 무거동 1484-2,35.5496350,129.2648945
무동,경남 창원시 의창구 북면 무동리 145-7,35.3175804,128.5845396
무실,강원 원주시 무실동 1664-3,37.3330848,127.9233461
무안읍,전남 무안군 무안읍 성남리 813-45,34.9867880,126.4734010
무주,전북 무주군 무주읍 읍내리 962,36.0061395,127.6575752
무주구천,전북 무주군 설천면 삼공리 364-4,35.9061211,127.7807907
무지개마을,경기 성남시 분당구 구미동 212-2,37.3360860,127.1185714
묵동,서울 중랑구 묵동 175-2,37.6126015,127.0775889
묵호,강원 동해시 부곡동 74-5,37.5366426,129.1027456
문래,서울 영등포구 문래동3가 77-34,37.5193913,126.8895701
문막,강원 원주시 문막읍 건등리 1705-3,37.3134076,127.8200605
문산,경기 파주시 문산읍 방촌로 1729,37.8670845,126.7848485
문성,경북 구미시 고아읍 문성리 1850,36.1603178,128.3488296
문수,전남 여수시 문수동 124-1,34.7531722,127.7025216
문정법조,서울 송파구 문정동 620 송파푸르지오시티 B09호,37.4807743,127.1212572
문현1호,부산 남구 문현동 359-5,35.1364020,129.0714043
문현2호,부산 남구 문현1동 127-56,35.1431547,129.0713240
문화1호,대전 중구 문화동 466-16,36.3099055,127.4025906
문화중앙,경남 창원시 마산합포구 중앙동2가 5-42번지,35.1926227,128.5646543
문흥1호,광주 북구 문흥동 980-15,35.1887846,126.9259243
물금,경남 양산시 물금읍 범어리 2682-10,35.3301709,129.0115400
물금역,경남 물금읍 물금리 800-5,35.3102903,128.9885057
미금,경기 성남시 분당구 구미동 50-2,37.3471248,127.1108263
미사1호,경기 하남시 망월동 1004-1,37.5694438,127.1830564
