가맹점명,주소,위도,경도
용인영덕점,경기 용인시 기흥구 덕영대로2077번길 16 (영덕동),37.2681782,127.0966127
용인서천점,경기 용인시 기흥구 서천로127번길 3-3 (서천동),37.2368077,127.0724235
수지신봉점,경기 용인시 수지구 신봉2로 2 (신봉동),37.3232084,127.0780476
새터마을점,경기 용인시 수지구 현암로 121 (죽전동),37.3319680,127.1228448
용인천리점,경기 용인시 처인구 이동읍 백옥대로 603,37.1905779,127.2063108
용인새천년점,경기 용인시 기흥구 새천년로26번길 4 (신갈동),37.2888079,127.1119525
용인상하점,경기 용인시 기흥구 중부대로788번길 2 (상하동),37.2583267,127.1424148
용인시청점,경기 용인시 처인구 중부대로 1154 (삼가동),37.2393223,127.1733270
용인둔전점,경기 용인시 처인구 포곡읍 포곡로 114,37.2694408,127.2180530
용인모현점,경기 용인시 처인구 모현읍 백옥대로 2391,37.3371325,127.2493465
용인금화점,경기 용인시 기흥구 금화로 107 (상갈동),37.2662314,127.1062302
용인전대리점,경기 용인시 처인구 포곡읍 전대로 66,37.2843090,127.2186594
강남대점,경기 용인시 기흥구 강남로 8 (구갈동),37.2709161,127.1272601
용인백암점,경기 용인시 처인구 백암면 백암로 199,37.1642863,127.3749511
의왕백운호수점,"경기 의왕시 백운중앙로 88 (학의동, 의왕백운해링턴플레이스 5단지) 상가 105호",37.3696560,127.0112964
의왕포일점,경기 의왕시 포일세거리로 3 (포일동) 1층 106호,37.3959581,126.9847483
의왕오전점,경기 의왕시 원골로 8 (오전동),37.3582831,126.9674662
의왕고천점,"경기 의왕시 전주남이길 8 (오전동, 목화케이티이자리에)",37.3504088,126.9755511
의왕부곡점,경기 의왕시 부곡중앙로 21 (삼동),37.3212005,126.9513478
의왕청계점,경기 의왕시 청계1로 29 (청계동),37.3917877,126.9983790
의왕내손점,경기 의왕시 내손중앙로 37-3 (내손동),37.3870130,126.9799683
의왕갈뫼점,경기 의왕시 갈미2로 40 (내손동),37.3794659,126.9714294
의정부호원점,경기 의정부시 호동로 67 (호원동),37.7279274,127.0433266
의정부망월사점,"경기 의정부시 평화로244번길 25 (호원동, 유원아파트)",37.7139544,127.0477103
의정부녹양점,경기 의정부시 녹양로 64 (녹양동),37.7567538,127.0332380
의정부가능점,경기 의정부시 가능로 50 (가능동),37.7465825,127.0367011
