가맹점명,주소,위도,경도
인창,경기 구리시 인창동 344-7,37.6055142,127.1393289
인하대역,인천 미추홀구 용현동 665-14,37.4475301,126.6493369
인후,전북 전주시 인후동1가 756-18,35.8395079,127.1558471
일곡1호,광주 북구 일곡동 834-11,35.2037873,126.9000717
일광신도시,부산 기장군 일광면 삼성리 833-4,35.2647785,129.2253826
일도,제주 제주시 일도이동 377-22,33.5059602,126.5412534
일동,경기 안산시 상록구 일동 89-3,37.3122185,126.8677500
일산,강원 원주시 원동 278-7,37.3436925,127.9441618
일원1동,서울 강남구 일원동 645,37.4903769,127.0854767
일원본동,서울 강남구 수서동 747 삼성아파트 상가 104호,37.4848991,127.0907043
임실,전북 임실군 임실읍 이도리 294,35.6110105,127.2874621
임학박촌,인천 계양구 박촌동 52-3,37.5561187,126.7452650
자산교방,경남 창원시 마산합포구 자산동 301-19,35.2023032,128.5669333
자양1호,서울 광진구 자양3동 584-28,37.5310524,127.0748140
자양2호,서울 광진구 자양동 624-42,37.5346519,127.0820460
자양대동,대전 동구 대동 192-1,36.3308088,127.4435705
자은냉천,경남 창원시 진해구 자은동 135-1 (자은빌딩 103호),35.1556579,128.7138739
작전1호,인천 계양구 작전동 149-1,37.5278035,126.7338044
잠실1호,서울 송파구 잠실동 177-3,37.5105923,127.0798731
잠실2호,서울 송파구 신천동 11-4,37.5174487,127.1036051
잠원1호,서울 서초구 잠원동 15-4,37.5157505,127.0173735
장곡,"경기 시흥시 장곡동 823-5, 동서빌딩",37.3790643,126.7865283
장기,대구 달서구 장기동 826-6,35.8420916,128.5292501
장기1호,경기 김포시 장기동 1911-4,37.6459427,126.6702215
장락,충북 제천시 장락동 542-7,37.1567589,128.2238600
장림,부산 사하구 장림동 590,35.0759900,128.9724673
장성,경북 포항시 북구 장성동 1355-4,36.0640658,129.3800453
장수,전북 장수군 장수읍 장수리 443-40,35.6502506,127.5197053
장승포,경남 거제시 장승포동 697-2,34.8679319,128.7277584
장안1호,서울 동대문구 전농동 1-171,37.5812951,127.0681144
장안2호,서울 동대문구  장안동 375-3,37.5672406,127.0681398
장암,경기 의정부시 신곡동 362-4,37.7291718,127.0619687
장유1호,경남 김해시 무계동 149-18,35.2051270,128.8092447
장재,충남 아산시 배방읍 장재리 1531,36.7884554,127.0892910
장전1호,부산 금정구 장전동 134-19,35.2379575,129.0837773
장지,서울 송파구 문정동 102-1,37.4854830,127.1313298
장평,경남 거제시 장평동 274,34.8905271,128.6082429
장학,강원 춘천시 동면 장학리 1003-1,37.8936003,127.7543308
장현,경기 시흥시 장현동 516-1,37.3719910,126.7974126
장호원감곡,충북 음성군 감곡면 왕장리 523-8,37.1186646,127.6393340
장흥,전남 장흥군 장흥읍 건산리 736-10,34.6785476,126.9079833
재송1호,부산 해운대구 반여동 1291-1019,35.1940607,129.1306468
재송2호,부산 해운대구 재송동 1083-10,35.1874908,129.1250032
전곡,경기 연천군 전곡읍 전곡리 302-11,38.0246409,127.0677486
전남대,광주 북구 용봉동 157-20,35.1761570,126.9146798
전민,대전 유성구 문지동 635-8,36.3950617,127.4067508
전북대,전북 전주시 덕진구 덕진동1가 1314-201,35.8444252,127.1249110
전포1호,부산 부산진구 전포동 337-20,35.1546604,129.0679306
전하,울산 동구 전하2동 634-4,35.5103881,129.4268402
점촌,경북 문경시 모전동 866,36.5850966,128.1863529
정관1호,부산 기장군 정관읍 매학리 751-1,35.3216617,129.1816798
정관2호,부산 기장군 모전리 747-7,35.3347615,129.1683829
정릉1호,서울 성북구 정릉동 285-11,37.6108469,127.0091596
정릉2호,서울 성북구 정릉동 175-24,37.6039104,127.0152363
정왕1호,경기 시흥시 정왕동 1593-2,37.3445643,126.7435133
정왕2호,경기 시흥시 정왕동 1859-3,37.3532593,126.7233581
정왕3호,경기 시흥시 정왕동 1728-12,37.3471238,126.7339828
정자,경기 성남시 분당구 정자동 17-5,37.3673015,127.1077171
정자1호,경기 수원시 장안구 정자동 41-2,37.2938203,127.0004594
정자2호,"경기 수원시 장안구 천천동 502-6, 1층",37.3002249,126.9800256
정촌,경남 진주시 정촌면 예하리 1300-14,35.1257709,128.1024327
제주1호,제주 제주시  연동 272-30,33.4896270,126.4919218
조선대,광주 동구 지산동 500번지,35.1460928,126.9311151
조양,강원 속초시 조양동 1520-10,38.1871843,128.5901405
조원1호,경기 수원시 장안구 조원동 729-12,37.3018118,127.0149958
조치원1호,세종 조치원읍 죽림리 21-1 삼일아파트 상가 109호,36.5949313,127.2975959
종로1호,서울 종로구 관철동 13-13,37.5693719,126.9860412
종암,서울 성북구 종암동 3-544,37.6029141,127.0316919
좌동1호,부산 해운대구 좌동 970,35.1738479,129.1758971
좌동2호,부산 해운대구 좌동 1341-8,35.1716682,129.1664315
좌동3호,부산 해운대구 좌동 1484-1,35.1690119,129.1782921
주문진,강원 강릉시 주문진읍 교항리 119-11,37.8841179,128.8254683
주안1호,인천 남구 주안동 1523-2,37.4478741,126.6865821
주안2호,인천 미추홀구 도화동 432-2,37.4598465,126.6741343
