storename,address
봉천중앙시장점,서울 관악구 관악로 211 (봉천동) 
서울대입구역점,서울 관악구 쑥고개로 139 (봉천동) 
봉천점,서울 관악구 청룡2길 47 (봉천동) 
신림역점,서울 관악구 남부순환로 1594-1 (신림동) 
낙성대역점,서울 관악구 남부순환로 1949 (봉천동) 
신림6동점,서울 관악구 신림로 141 (신림동) 
신림9동점,서울 관악구 대학6길 2 (신림동) 
남현점,서울 관악구 남현1가길 4 (남현동) 
신대방역점,서울 관악구 난곡로 354 (신림동) 
난곡점,서울 관악구 난곡로 203 (신림동) 
관악드림타운점,서울 관악구 은천로25길 63 (봉천동) 
은천점,서울 관악구 은천로 38-1 (봉천동) 
난곡파로스점,"서울 관악구 난곡로 100 (신림동, 파로스프라자A동) "
양재점,서울 서초구 남부순환로356길 33 (양재동) 
방배역점,서울 서초구 방배로13길 19 (방배동) 
방배본동점,서울 서초구 동광로 56-4 (방배동) 
구반포역점,서울 서초구 신반포로 49 (반포동) 
논현점,서울 강남구 강남대로122길 41 (논현동) 
역삼1동점,서울 강남구 역삼로 145 (역삼동) 
대치점,서울 강남구 도곡로84길 6 (대치동) 
한티역점,서울 강남구 선릉로 313 (역삼동) 
일원점,서울 강남구 양재대로55길 15 (일원동) 
포이점,서울 강남구 논현로10길 30 (개포동) 
매봉역점,서울 강남구 남부순환로378길 12 (도곡동) 
개포1단지점,서울 강남구 선릉로6길 8 (개포동) 
석촌점,서울 송파구 송파대로 447 (석촌동) 
잠실본동점,서울 송파구 백제고분로 165 (잠실동) 
마천점,서울 송파구 성내천로 218 (마천동) 
문정점,서울 송파구 송이로 198-1 (문정동) 
풍납점,서울 송파구 토성로 65 (풍납동) 
거여점,서울 송파구 양산로 42 (거여동) 
송파1점,서울 송파구 가락로 158 (송파동) 
방이점,서울 송파구 마천로 61 (오금동) 
개롱점,"서울 송파구 오금로 407 (오금동, 상아아파트) "
가락시영점,서울 송파구 가락로 63 (석촌동) 
가락점,서울 송파구 송이로 93 (가락동) 
잠실점,"서울 송파구 올림픽로35가길 9 (신천동, 잠실 푸르지오 월드마크) "
잠실4단지점,서울 송파구 석촌호수로 134 (삼전동) 
장지역점,서울 송파구 새말로8길 29 (문정동) 
암사점,서울 강동구 올림픽로 787 (암사동) 
강일점,"서울 강동구 아리수로97길 19 (강일동, 강일리버파크4단지아파트) "
상일동역점,서울 강동구 고덕로79길 29 (고덕동) 
길동점,서울 강동구 양재대로116길 38 (길동) 
암사롯데캐슬점,서울 강동구 고덕로 105 (암사동) 
천호1동점,서울 강동구 구천면로 328 (천호동) 
천호점,서울 강동구 천호옛길 90 (성내동) 
둔촌점,서울 강동구 양재대로 1339 (성내동) 
명일점,서울 강동구 구천면로 424 (명일동) 
고덕점,"서울 강동구 동남로71길 38 (명일동, 동양타워) "
마포구청역점,서울 마포구 방울내로 87 (망원동) 
대흥역점,서울 마포구 백범로 86 (대흥동) 
망원점,서울 마포구 월드컵로13길 56 (망원동) 
합정역점,서울 마포구 독막로2길 6 (합정동) 
마포도화점,서울 마포구 삼개로 24 (도화동) 
성산점,서울 마포구 월드컵북로 224 (성산동) 
만리점,서울 마포구 만리재옛길 104 (공덕동) 
상수역점,서울 마포구 독막로 94 (상수동) 
상암점,서울 마포구 월드컵북로 324 (상암동) 
마포창전점,서울 마포구 서강로9길 48 (창전동) 
동교점,서울 마포구 동교로 205 (동교동) 
후암점,서울 용산구 후암로 3-1 (후암동) 
용문시장점,서울 용산구 효창원로 97 (용문동) 
보광점,서울 용산구 보광로 45 (보광동) 
경리단점,서울 용산구 회나무로13길 10 (이태원동) 
한남점,"서울 용산구 독서당로 22 (한남동, 동원베네스트) "
북가좌점,서울 서대문구 응암로 69 (북가좌동) 
명지대점,서울 서대문구 거북골로 14 (홍은동) 
서대문냉천점,서울 서대문구 통일로 157-6 (냉천동) 
홍제점,서울 서대문구 통일로 414 (홍제동) 
이대점,서울 서대문구 이화여대7길 15 (대현동) 
가재울점,"서울 서대문구 거북골로 120 (남가좌동, DMC센트레빌) "
연희점,서울 서대문구 연희로 82 (연희동) 
문화촌점,서울 서대문구 세검정로 57 (홍제동) 
녹번점,서울 은평구 은평로 197-1 (녹번동) 
갈현점,서울 은평구 갈현로 262 (갈현동) 
역촌점,서울 은평구 갈현로 82 (역촌동) 
은평뉴타운2지구점,"서울 은평구 진관2로 90 (진관동, 은평뉴타운 마고정) "
구산역점,서울 은평구 서오릉로 130 (대조동) 
불광2동점(연신내점),서울 은평구 연서로 283-1 (불광동) 
은평신사점,서울 은평구 은평터널로 193-1 (신사동) 
은평뉴타운점,"서울 은평구 진관4로 47 (진관동, 은평뉴타운상림마을) "
독바위역점,서울 은평구 불광로 105 (불광동) 
불광역점,서울 은평구 통일로71길 32 (대조동) 
응암점,서울 은평구 진흥로 29 (역촌동) 
서울성대점,서울 종로구 성균관로 14 (명륜2가) 
경복궁역점,서울 종로구 자하문로 19 (체부동) 
동묘앞역점,서울 종로구 지봉로 50 (숭인동) 
종로점,서울 종로구 삼봉로 81 (수송동) 
